product_name,id,current_price,original_price,discount,discount_rate,short_description,rating_average,inventory_status,brand_name,product_link
Máy tính bảng Samsung Galaxy Tab A7 Lite LTE SM-T225 - Hàng Chính Hãng,103168071,3299000,4490000,1191000,27,"Chính hãng, Nguyên seal, Mới 100%Đã kích hoạt bảo hành điện tử 6060, nguyên seal chưa khuiMiễn phí giao hàng toàn quốcSIM Nano-SIM, hỗ trợ 4GLoại Màn hình cảm ứng IPS LCDKích thước: 8.7 incheĐộ phân g...",4.8,available,Samsung,https://tiki.vn/product-p103168071.html?spid=109020288
Máy Tính Bảng Huawei Matepad T10s | Màn Hình Full HD | Chế Độ Bảo Vệ Mắt | Tinh Chỉnh Bởi Harman Kardon | Hàng Chính Hãng,75321722,3675000,5990000,2315000,39,"HUAWEI Matepad T10S sử dụng dịch vụ Huawei Mobile Service (HMS), dịch vụ Google sẽ không cài đặt sẵn trên thiết bị.Để biết thêm thông tin chi tiết, vui lòng liên hệ nhân viên để được hỗ trợXin cảm ơn ...",4.6,available,Huawei,https://tiki.vn/product-p75321722.html?spid=142384384
Apple iPhone 14 Pro,197216279,29990000,30990000,1000000,3,"Nội dung quảng cáoiPhone 14 Pro. Bắt trọn chi tiết ấn tượng với Camera Chính 48MP. Trải nghiệm iPhone theo cách hoàn toàn mới với Dynamic Island và màn hình Luôn Bật. Phát Hiện Va Chạm,1 một tính năn...",5.0,available,Apple,https://tiki.vn/product-p197216279.html?spid=197216281
Điện thoại Samsung Galaxy A32-Hàng Chính Hãng,88100671,5080000,5290000,210000,4,"Bứt Phá Chuẩn Công Nghệ Thăng Hạng Ngàn Trải NghiệmThao Tác Mượt Mà Trên Màn Hình Tuyệt ĐỉnhMãn nhãn với những hình ảnh chi tiết, rực rỡ trên màn hình Super AMOLED chuẩn FHD+ với độ sáng lên đến 80...",4.7,available,Samsung,https://tiki.vn/product-p88100671.html?spid=93722334
Điện thoại Samsung Galaxy A13 (4GB/128GB) - Hàng chính hãng,170580388,3990000,4990000,1000000,20,"Điện thoại Samsung Galaxy A13 – Smartphone nhỏ gọn, ấn tượngSau Galaxy A12 thì Samsung lại tiếp tục chuẩn bị để cho ra mắt phiên bản kế nhiệm mang tên điện thoại Samsung Galaxy A13. Điện thoại Samsun...",4.8,available,Samsung,https://tiki.vn/product-p170580388.html?spid=170580391
Điện thoại Samsung Galaxy S22 Plus 5G (8GB/256GB) - Hàng chính hãng,162583980,19390000,27490000,8100000,29,...,4.5,available,Samsung,https://tiki.vn/product-p162583980.html?spid=162583984
MỚI Điện thoại vivo T1x (8GB - 128GB) - Hàng Chính Hãng,184667324,5245000,6490000,1245000,19,...,0.0,available,Vivo,https://tiki.vn/product-p184667324.html?spid=184667326
Điện thoại Samsung Galaxy A03 (3GB/32GB) - Hàng chính hãng,158714974,2390000,2990000,600000,20,"Sở hữu camera 48MP chụp hình sắc nét và viên pin siêu trâu 5.000mAh sử dụng đến hai ngày, điện thoại Samsung Galaxy A03 sẽ mang tới cho bạn những trải nghiệm cực kì ấn tượng trong phân khúc giá rẻ.Ca...",4.7,available,Samsung,https://tiki.vn/product-p158714974.html?spid=158714987
Điện Thoại Nokia 105 Single Sim - Hàng Chính Hãng,34942696,539000,549000,10000,2,"Thiết kế nhỏ gọn, đẹp mắtĐiện Thoại Nokia 105 Single Sim có thiết kế hiện đại với các đường bo tròn độc đáo cho bạn dễ dàng cầm giữ cũng như bỏ máy vào túi. Kiểu dáng thanh lịch, cá tính và năng động...",4.5,available,Nokia,https://tiki.vn/product-p34942696.html?spid=136097920
Điện Thoại Oppo A57 (4GB/64GB) - Hàng Chính Hãng,189658085,3790000,4490000,700000,16,  ...,4.8,available,OPPO,https://tiki.vn/product-p189658085.html?spid=189658087
